Label,1.01,1.011,1.012
1,1,76,151
1,2,77,152
1,3,78,153
1,4,79,154
1,5,80,155
1,6,81,156
1,7,82,157
1,8,83,158
1,9,84,159
1,10,85,160
1,11,86,161
1,12,87,162
1,13,88,163
1,14,89,164
1,15,90,165
1,16,91,166
1,17,92,167
1,18,93,168
1,19,94,169
1,20,95,170
1,21,96,171
1,22,97,172
1,23,98,173
1,24,99,174
1,25,100,175
2,26,101,176
2,27,102,177
2,28,103,178
2,29,104,179
2,30,105,180
2,31,106,181
2,32,107,182
2,33,108,183
2,34,109,184
2,35,110,185
2,36,111,186
2,37,112,187
2,38,113,188
2,39,114,189
2,40,115,190
2,41,116,191
2,42,117,192
2,43,118,193
2,44,119,194
2,45,120,195
2,46,121,196
2,47,122,197
2,48,123,198
2,49,124,199
2,50,125,200
3,51,126,201
3,52,127,202
3,53,128,203
3,54,129,204
3,55,130,205
3,56,131,206
3,57,132,207
3,58,133,208
3,59,134,209
3,60,135,210
3,61,136,211
3,62,137,212
3,63,138,213
3,64,139,214
3,65,140,215
3,66,141,216
3,67,142,217
3,68,143,218
3,69,144,219
3,70,145,220
3,71,146,221
3,72,147,222
3,73,148,223
3,74,149,224
3,75,150,225
